city,location,value,unit,country,coordinates,timestamp
Kolkata,Kolkata_Central,142.6,µg/m³,IN,"{'latitude': 28.507569828021765, 'longitude': 77.0643977898356}",2025-09-26 21:30:50.877925
Chennai,Chennai_Central,66.9,µg/m³,IN,"{'latitude': 28.53951503376463, 'longitude': 77.20058279604066}",2025-09-26 21:30:50.877925
Bangalore,Bangalore_Central,56.2,µg/m³,IN,"{'latitude': 28.425527604572654, 'longitude': 77.2600584821715}",2025-09-26 21:30:50.877925
Pune,Pune_Central,88.7,µg/m³,IN,"{'latitude': 28.719848766125715, 'longitude': 77.3926924528243}",2025-09-26 21:30:50.877925
Ahmedabad,Ahmedabad_Central,84.2,µg/m³,IN,"{'latitude': 28.73035211268085, 'longitude': 77.21451318918423}",2025-09-26 21:30:50.877925
Jaipur,Jaipur_Central,108.4,µg/m³,IN,"{'latitude': 28.570515300303928, 'longitude': 77.09132088929651}",2025-09-26 21:30:50.877925
Lucknow,Lucknow_Central,93.1,µg/m³,IN,"{'latitude': 28.62493015020657, 'longitude': 77.29045983448162}",2025-09-26 21:30:50.877925
Kanpur,Kanpur_Central,112.7,µg/m³,IN,"{'latitude': 28.653775359484325, 'longitude': 77.1528744123896}",2025-09-26 21:30:50.877925
Nagpur,Nagpur_Central,67.8,µg/m³,IN,"{'latitude': 28.642717053157604, 'longitude': 77.07930233917024}",2025-09-26 21:30:50.877925
Indore,Indore_Central,98.1,µg/m³,IN,"{'latitude': 28.586289419365144, 'longitude': 77.13834421420046}",2025-09-26 21:30:50.877925
Bhopal,Bhopal_Central,82.8,µg/m³,IN,"{'latitude': 28.673958357313815, 'longitude': 77.16504545863761}",2025-09-26 21:30:50.877925
Patna,Patna_Central,182.3,µg/m³,IN,"{'latitude': 28.662234178873575, 'longitude': 77.12665529909665}",2025-09-26 21:30:50.877925
Vadodara,Vadodara_Central,63.8,µg/m³,IN,"{'latitude': 28.487143449582337, 'longitude': 77.14001619427124}",2025-09-26 21:30:50.877925
Ludhiana,Ludhiana_Central,105.6,µg/m³,IN,"{'latitude': 28.61379886939696, 'longitude': 77.08032371456694}",2025-09-26 21:30:50.877925
Agra,Agra_Central,91.2,µg/m³,IN,"{'latitude': 28.556234565257444, 'longitude': 77.12501557252561}",2025-09-26 21:30:50.877925
Nashik,Nashik_Central,46.0,µg/m³,IN,"{'latitude': 28.802356496482137, 'longitude': 77.147078608673}",2025-09-26 21:30:50.877925
Faridabad,Faridabad_Central,136.0,µg/m³,IN,"{'latitude': 28.66469105846617, 'longitude': 77.24162118278626}",2025-09-26 21:30:50.877925
Delhi,Delhi_Central,183.6,µg/m³,IN,"{'latitude': 28.675386452377683, 'longitude': 77.10216992020752}",2025-09-26 22:30:50.877925
Kolkata,Kolkata_Central,10.0,µg/m³,IN,"{'latitude': 28.563211544761806, 'longitude': 77.38151464456115}",2025-09-26 22:30:50.877925
Chennai,Chennai_Central,62.6,µg/m³,IN,"{'latitude': 28.49734422858065, 'longitude': 77.30855299131069}",2025-09-26 22:30:50.877925
Bangalore,Bangalore_Central,25.4,µg/m³,IN,"{'latitude': 28.455344707809143, 'longitude': 77.22119676913292}",2025-09-26 22:30:50.877925
Hyderabad,Hyderabad_Central,62.3,µg/m³,IN,"{'latitude': 28.569197217416356, 'longitude': 77.08029140383526}",2025-09-26 22:30:50.877925
Pune,Pune_Central,19.7,µg/m³,IN,"{'latitude': 28.55773218826035, 'longitude': 77.23904907921077}",2025-09-26 22:30:50.877925
Ahmedabad,Ahmedabad_Central,16.6,µg/m³,IN,"{'latitude': 28.585137432270916, 'longitude': 77.21743066899838}",2025-09-26 22:30:50.877925
Jaipur,Jaipur_Central,143.1,µg/m³,IN,"{'latitude': 28.545857758473385, 'longitude': 77.14456580003291}",2025-09-26 22:30:50.877925
Kanpur,Kanpur_Central,131.6,µg/m³,IN,"{'latitude': 28.699215835268483, 'longitude': 77.21474627578819}",2025-09-26 22:30:50.877925
Nagpur,Nagpur_Central,10.0,µg/m³,IN,"{'latitude': 28.717115459427166, 'longitude': 77.06500753588949}",2025-09-26 22:30:50.877925
Indore,Indore_Central,42.9,µg/m³,IN,"{'latitude': 28.55064018578032, 'longitude': 77.03186559725006}",2025-09-26 22:30:50.877925
Patna,Patna_Central,76.3,µg/m³,IN,"{'latitude': 28.694765101809878, 'longitude': 77.19461731487364}",2025-09-26 22:30:50.877925
Vadodara,Vadodara_Central,60.1,µg/m³,IN,"{'latitude': 28.46805319186759, 'longitude': 77.35580817304363}",2025-09-26 22:30:50.877925
Ludhiana,Ludhiana_Central,96.9,µg/m³,IN,"{'latitude': 28.41943902927859, 'longitude': 77.15914657999993}",2025-09-26 22:30:50.877925
Agra,Agra_Central,144.3,µg/m³,IN,"{'latitude': 28.526669338915642, 'longitude': 77.16586066112107}",2025-09-26 22:30:50.877925
Nashik,Nashik_Central,62.3,µg/m³,IN,"{'latitude': 28.580893486994114, 'longitude': 77.22858523617757}",2025-09-26 22:30:50.877925
Faridabad,Faridabad_Central,72.7,µg/m³,IN,"{'latitude': 28.542323773990802, 'longitude': 77.24778449758612}",2025-09-26 22:30:50.877925
Delhi,Delhi_Central,129.8,µg/m³,IN,"{'latitude': 28.398814527178065, 'longitude': 77.27791294995609}",2025-09-26 23:30:50.877925
Mumbai,Mumbai_Central,115.1,µg/m³,IN,"{'latitude': 28.758015406262043, 'longitude': 77.14386637705607}",2025-09-26 23:30:50.877925
Kolkata,Kolkata_Central,50.8,µg/m³,IN,"{'latitude': 28.662992731582467, 'longitude': 77.01705814316296}",2025-09-26 23:30:50.877925
Chennai,Chennai_Central,87.6,µg/m³,IN,"{'latitude': 28.71151365623797, 'longitude': 77.15427610917662}",2025-09-26 23:30:50.877925
Bangalore,Bangalore_Central,12.0,µg/m³,IN,"{'latitude': 28.58994691151653, 'longitude': 77.25692725237491}",2025-09-26 23:30:50.877925
Hyderabad,Hyderabad_Central,25.7,µg/m³,IN,"{'latitude': 28.579126374568542, 'longitude': 77.26752922193131}",2025-09-26 23:30:50.877925
Pune,Pune_Central,32.0,µg/m³,IN,"{'latitude': 28.54980740141854, 'longitude': 77.14889166910514}",2025-09-26 23:30:50.877925
Ahmedabad,Ahmedabad_Central,103.9,µg/m³,IN,"{'latitude': 28.546249768224573, 'longitude': 77.12691968122176}",2025-09-26 23:30:50.877925
Jaipur,Jaipur_Central,31.4,µg/m³,IN,"{'latitude': 28.551120278452945, 'longitude': 77.13633284839551}",2025-09-26 23:30:50.877925
Lucknow,Lucknow_Central,95.1,µg/m³,IN,"{'latitude': 28.70574051254819, 'longitude': 77.15961046882875}",2025-09-26 23:30:50.877925
Kanpur,Kanpur_Central,121.5,µg/m³,IN,"{'latitude': 28.64529238803025, 'longitude': 77.3039670460224}",2025-09-26 23:30:50.877925
Nagpur,Nagpur_Central,72.4,µg/m³,IN,"{'latitude': 28.68971172220592, 'longitude': 77.07792448986699}",2025-09-26 23:30:50.877925
Indore,Indore_Central,80.7,µg/m³,IN,"{'latitude': 28.270793736640574, 'longitude': 77.17088964509468}",2025-09-26 23:30:50.877925
Bhopal,Bhopal_Central,68.5,µg/m³,IN,"{'latitude': 28.421395987795076, 'longitude': 77.33068079667875}",2025-09-26 23:30:50.877925
Vadodara,Vadodara_Central,90.1,µg/m³,IN,"{'latitude': 28.625712506061497, 'longitude': 77.22970191738409}",2025-09-26 23:30:50.877925
Ludhiana,Ludhiana_Central,83.2,µg/m³,IN,"{'latitude': 28.725838887218067, 'longitude': 77.18558182389988}",2025-09-26 23:30:50.877925
Agra,Agra_Central,85.8,µg/m³,IN,"{'latitude': 28.722969846710733, 'longitude': 77.02342221350993}",2025-09-26 23:30:50.877925
Nashik,Nashik_Central,46.4,µg/m³,IN,"{'latitude': 28.727317628574706, 'longitude': 77.12167735092298}",2025-09-26 23:30:50.877925
Faridabad,Faridabad_Central,163.1,µg/m³,IN,"{'latitude': 28.637233136336828, 'longitude': 77.21334715675913}",2025-09-26 23:30:50.877925
Delhi,Delhi_Central,76.7,µg/m³,IN,"{'latitude': 28.72420147245748, 'longitude': 77.36896526343902}",2025-09-27 00:30:50.877925
Mumbai,Mumbai_Central,59.7,µg/m³,IN,"{'latitude': 28.643312338929405, 'longitude': 77.2440140798588}",2025-09-27 00:30:50.877925
Kolkata,Kolkata_Central,10.0,µg/m³,IN,"{'latitude': 28.59663662588073, 'longitude': 77.07159595993456}",2025-09-27 00:30:50.877925
Chennai,Chennai_Central,27.2,µg/m³,IN,"{'latitude': 28.610815828512795, 'longitude': 77.190599054406}",2025-09-27 00:30:50.877925
Bangalore,Bangalore_Central,40.8,µg/m³,IN,"{'latitude': 28.45502140600919, 'longitude': 77.22579694921205}",2025-09-27 00:30:50.877925
Hyderabad,Hyderabad_Central,59.5,µg/m³,IN,"{'latitude': 28.40325382671474, 'longitude': 77.25404370953525}",2025-09-27 00:30:50.877925
Pune,Pune_Central,19.6,µg/m³,IN,"{'latitude': 28.643349074898374, 'longitude': 77.17328622374352}",2025-09-27 00:30:50.877925
Ahmedabad,Ahmedabad_Central,86.5,µg/m³,IN,"{'latitude': 28.56656496030209, 'longitude': 77.09208934745112}",2025-09-27 00:30:50.877925
Jaipur,Jaipur_Central,19.9,µg/m³,IN,"{'latitude': 28.534616621249445, 'longitude': 77.26480782891353}",2025-09-27 00:30:50.877925
Lucknow,Lucknow_Central,97.0,µg/m³,IN,"{'latitude': 28.453938905215512, 'longitude': 77.07914820334956}",2025-09-27 00:30:50.877925
Nagpur,Nagpur_Central,69.5,µg/m³,IN,"{'latitude': 28.541412095551042, 'longitude': 77.30327622317581}",2025-09-27 00:30:50.877925
Indore,Indore_Central,59.9,µg/m³,IN,"{'latitude': 28.69644059258883, 'longitude': 77.11623276604091}",2025-09-27 00:30:50.877925
Bhopal,Bhopal_Central,43.8,µg/m³,IN,"{'latitude': 28.604577416303524, 'longitude': 77.30652445015639}",2025-09-27 00:30:50.877925
Patna,Patna_Central,68.0,µg/m³,IN,"{'latitude': 28.686043085258298, 'longitude': 77.14238513792408}",2025-09-27 00:30:50.877925
Vadodara,Vadodara_Central,91.3,µg/m³,IN,"{'latitude': 28.56825900396534, 'longitude': 77.16806790423719}",2025-09-27 00:30:50.877925
Ludhiana,Ludhiana_Central,58.0,µg/m³,IN,"{'latitude': 28.697019364637725, 'longitude': 77.12934506966143}",2025-09-27 00:30:50.877925
Agra,Agra_Central,85.3,µg/m³,IN,"{'latitude': 28.42403984987127, 'longitude': 77.0518342573201}",2025-09-27 00:30:50.877925
Nashik,Nashik_Central,12.9,µg/m³,IN,"{'latitude': 28.598490112261473, 'longitude': 77.21017508322151}",2025-09-27 00:30:50.877925
Faridabad,Faridabad_Central,141.5,µg/m³,IN,"{'latitude': 28.65837979676204, 'longitude': 77.27340534415879}",2025-09-27 00:30:50.877925
Delhi,Delhi_Central,139.0,µg/m³,IN,"{'latitude': 28.649984810049062, 'longitude': 77.2252059505995}",2025-09-27 01:30:50.877925
Mumbai,Mumbai_Central,49.8,µg/m³,IN,"{'latitude': 28.837265709513137, 'longitude': 77.15837623954289}",2025-09-27 01:30:50.877925
Kolkata,Kolkata_Central,86.5,µg/m³,IN,"{'latitude': 28.56897020266325, 'longitude': 77.17715180876208}",2025-09-27 01:30:50.877925
Chennai,Chennai_Central,18.8,µg/m³,IN,"{'latitude': 28.75665285908824, 'longitude': 77.24058148046993}",2025-09-27 01:30:50.877925
Bangalore,Bangalore_Central,45.4,µg/m³,IN,"{'latitude': 28.631074878529216, 'longitude': 77.32852901131002}",2025-09-27 01:30:50.877925
Hyderabad,Hyderabad_Central,48.1,µg/m³,IN,"{'latitude': 28.70878911631259, 'longitude': 77.13399455699962}",2025-09-27 01:30:50.877925
Pune,Pune_Central,33.4,µg/m³,IN,"{'latitude': 28.57666242885526, 'longitude': 77.18829977769593}",2025-09-27 01:30:50.877925
Ahmedabad,Ahmedabad_Central,102.4,µg/m³,IN,"{'latitude': 28.610830434760448, 'longitude': 77.13186198448562}",2025-09-27 01:30:50.877925
Jaipur,Jaipur_Central,29.1,µg/m³,IN,"{'latitude': 28.60671219962805, 'longitude': 77.22710678080017}",2025-09-27 01:30:50.877925
Lucknow,Lucknow_Central,71.8,µg/m³,IN,"{'latitude': 28.529982640842476, 'longitude': 77.3432006169395}",2025-09-27 01:30:50.877925
Kanpur,Kanpur_Central,74.6,µg/m³,IN,"{'latitude': 28.54818266838001, 'longitude': 77.19474746171211}",2025-09-27 01:30:50.877925
Indore,Indore_Central,20.2,µg/m³,IN,"{'latitude': 28.663087436015058, 'longitude': 77.29388704049244}",2025-09-27 01:30:50.877925
Bhopal,Bhopal_Central,27.8,µg/m³,IN,"{'latitude': 28.573662575428816, 'longitude': 77.22392752819631}",2025-09-27 01:30:50.877925
Patna,Patna_Central,98.4,µg/m³,IN,"{'latitude': 28.619759748832134, 'longitude': 77.27386326506497}",2025-09-27 01:30:50.877925
Vadodara,Vadodara_Central,103.6,µg/m³,IN,"{'latitude': 28.677520732749493, 'longitude': 77.24019402503468}",2025-09-27 01:30:50.877925
Ludhiana,Ludhiana_Central,121.6,µg/m³,IN,"{'latitude': 28.681374959739777, 'longitude': 77.29504732148662}",2025-09-27 01:30:50.877925
Agra,Agra_Central,23.2,µg/m³,IN,"{'latitude': 28.55833456967665, 'longitude': 77.09480527818248}",2025-09-27 01:30:50.877925
Nashik,Nashik_Central,38.6,µg/m³,IN,"{'latitude': 28.78383838195868, 'longitude': 77.26063394254066}",2025-09-27 01:30:50.877925
Faridabad,Faridabad_Central,78.9,µg/m³,IN,"{'latitude': 28.528794453897316, 'longitude': 77.3145597847362}",2025-09-27 01:30:50.877925
Delhi,Delhi_Central,143.6,µg/m³,IN,"{'latitude': 28.573403357416378, 'longitude': 77.19727698754156}",2025-09-27 02:30:50.877925
Mumbai,Mumbai_Central,41.0,µg/m³,IN,"{'latitude': 28.7109530575948, 'longitude': 77.21594513787232}",2025-09-27 02:30:50.877925
Kolkata,Kolkata_Central,10.0,µg/m³,IN,"{'latitude': 28.63949634784203, 'longitude': 77.31369501443125}",2025-09-27 02:30:50.877925
Chennai,Chennai_Central,30.4,µg/m³,IN,"{'latitude': 28.623198501050453, 'longitude': 77.15250956119591}",2025-09-27 02:30:50.877925
Bangalore,Bangalore_Central,10.0,µg/m³,IN,"{'latitude': 28.441863042721323, 'longitude': 77.17568435038447}",2025-09-27 02:30:50.877925
Hyderabad,Hyderabad_Central,10.0,µg/m³,IN,"{'latitude': 28.584490187482455, 'longitude': 77.49889356989867}",2025-09-27 02:30:50.877925
Pune,Pune_Central,20.4,µg/m³,IN,"{'latitude': 28.5827484750445, 'longitude': 77.12316872323474}",2025-09-27 02:30:50.877925
Ahmedabad,Ahmedabad_Central,82.7,µg/m³,IN,"{'latitude': 28.70355287294022, 'longitude': 77.21178283340932}",2025-09-27 02:30:50.877925
Jaipur,Jaipur_Central,66.3,µg/m³,IN,"{'latitude': 28.651797070591527, 'longitude': 77.29023680186232}",2025-09-27 02:30:50.877925
Lucknow,Lucknow_Central,116.8,µg/m³,IN,"{'latitude': 28.63660781970493, 'longitude': 77.21199943180127}",2025-09-27 02:30:50.877925
Kanpur,Kanpur_Central,81.1,µg/m³,IN,"{'latitude': 28.407345745303235, 'longitude': 77.3152073160402}",2025-09-27 02:30:50.877925
Nagpur,Nagpur_Central,40.0,µg/m³,IN,"{'latitude': 28.510059498749875, 'longitude': 77.20860886952916}",2025-09-27 02:30:50.877925
Indore,Indore_Central,55.4,µg/m³,IN,"{'latitude': 28.659659251546206, 'longitude': 77.18946062945703}",2025-09-27 02:30:50.877925
Bhopal,Bhopal_Central,77.6,µg/m³,IN,"{'latitude': 28.715565477303446, 'longitude': 77.10682320731685}",2025-09-27 02:30:50.877925
Vadodara,Vadodara_Central,43.4,µg/m³,IN,"{'latitude': 28.64357868683112, 'longitude': 77.31782551338719}",2025-09-27 02:30:50.877925
Ludhiana,Ludhiana_Central,68.8,µg/m³,IN,"{'latitude': 28.63713441056651, 'longitude': 77.2183538190668}",2025-09-27 02:30:50.877925
Agra,Agra_Central,101.5,µg/m³,IN,"{'latitude': 28.61001969601998, 'longitude': 77.31584059339401}",2025-09-27 02:30:50.877925
Nashik,Nashik_Central,59.4,µg/m³,IN,"{'latitude': 28.554520500062488, 'longitude': 77.07885989101335}",2025-09-27 02:30:50.877925
Faridabad,Faridabad_Central,10.6,µg/m³,IN,"{'latitude': 28.458813822586, 'longitude': 77.0428288412676}",2025-09-27 02:30:50.877925
Delhi,Delhi_Central,35.7,µg/m³,IN,"{'latitude': 28.69113226890069, 'longitude': 77.29102997068843}",2025-09-27 03:30:50.877925
Mumbai,Mumbai_Central,69.7,µg/m³,IN,"{'latitude': 28.500817673027075, 'longitude': 77.29589970270395}",2025-09-27 03:30:50.877925
Kolkata,Kolkata_Central,10.0,µg/m³,IN,"{'latitude': 28.595055523436464, 'longitude': 77.13646534344537}",2025-09-27 03:30:50.877925
Chennai,Chennai_Central,61.3,µg/m³,IN,"{'latitude': 28.525392629239793, 'longitude': 77.34011565783551}",2025-09-27 03:30:50.877925
Bangalore,Bangalore_Central,42.9,µg/m³,IN,"{'latitude': 28.557131187942765, 'longitude': 77.24364732655091}",2025-09-27 03:30:50.877925
Hyderabad,Hyderabad_Central,59.2,µg/m³,IN,"{'latitude': 28.497387427618357, 'longitude': 77.15711548163496}",2025-09-27 03:30:50.877925
Pune,Pune_Central,30.6,µg/m³,IN,"{'latitude': 28.67886171812294, 'longitude': 77.17005232072705}",2025-09-27 03:30:50.877925
Ahmedabad,Ahmedabad_Central,66.2,µg/m³,IN,"{'latitude': 28.83168758413012, 'longitude': 77.2829224357082}",2025-09-27 03:30:50.877925
Jaipur,Jaipur_Central,118.0,µg/m³,IN,"{'latitude': 28.495517620448407, 'longitude': 77.25466795375348}",2025-09-27 03:30:50.877925
Lucknow,Lucknow_Central,10.0,µg/m³,IN,"{'latitude': 28.704021840931727, 'longitude': 77.1059021854757}",2025-09-27 03:30:50.877925
Kanpur,Kanpur_Central,60.6,µg/m³,IN,"{'latitude': 28.76155491111429, 'longitude': 77.22969261916543}",2025-09-27 03:30:50.877925
Nagpur,Nagpur_Central,73.0,µg/m³,IN,"{'latitude': 28.475968309070094, 'longitude': 77.28421910326291}",2025-09-27 03:30:50.877925
Indore,Indore_Central,114.8,µg/m³,IN,"{'latitude': 28.6853626063046, 'longitude': 77.14533427217542}",2025-09-27 03:30:50.877925
Bhopal,Bhopal_Central,30.6,µg/m³,IN,"{'latitude': 28.834108702512303, 'longitude': 77.27912638730824}",2025-09-27 03:30:50.877925
Patna,Patna_Central,121.9,µg/m³,IN,"{'latitude': 28.537604681576656, 'longitude': 77.32648114451356}",2025-09-27 03:30:50.877925
Vadodara,Vadodara_Central,58.9,µg/m³,IN,"{'latitude': 28.643488763973018, 'longitude': 77.22548784024345}",2025-09-27 03:30:50.877925
Ludhiana,Ludhiana_Central,78.9,µg/m³,IN,"{'latitude': 28.48284770575894, 'longitude': 77.26210928547955}",2025-09-27 03:30:50.877925
Agra,Agra_Central,10.0,µg/m³,IN,"{'latitude': 28.559610209490174, 'longitude': 77.17817766653594}",2025-09-27 03:30:50.877925
Nashik,Nashik_Central,19.2,µg/m³,IN,"{'latitude': 28.467476231751835, 'longitude': 77.29190730589133}",2025-09-27 03:30:50.877925
Faridabad,Faridabad_Central,109.5,µg/m³,IN,"{'latitude': 28.50918396672643, 'longitude': 77.15707761735187}",2025-09-27 03:30:50.877925
Mumbai,Mumbai_Central,72.1,µg/m³,IN,"{'latitude': 28.650309826933437, 'longitude': 77.15376988128224}",2025-09-27 04:30:50.877925
Kolkata,Kolkata_Central,58.5,µg/m³,IN,"{'latitude': 28.603346173954773, 'longitude': 77.11163362716553}",2025-09-27 04:30:50.877925
Chennai,Chennai_Central,34.6,µg/m³,IN,"{'latitude': 28.5033642454751, 'longitude': 77.06087562519872}",2025-09-27 04:30:50.877925
Bangalore,Bangalore_Central,34.0,µg/m³,IN,"{'latitude': 28.59437354506494, 'longitude': 77.2438024476872}",2025-09-27 04:30:50.877925
Hyderabad,Hyderabad_Central,27.1,µg/m³,IN,"{'latitude': 28.534035701377352, 'longitude': 77.24274826874624}",2025-09-27 04:30:50.877925
Pune,Pune_Central,49.6,µg/m³,IN,"{'latitude': 28.569302270342664, 'longitude': 77.1223309392191}",2025-09-27 04:30:50.877925
Ahmedabad,Ahmedabad_Central,54.3,µg/m³,IN,"{'latitude': 28.638783536119163, 'longitude': 77.1289509835289}",2025-09-27 04:30:50.877925
Jaipur,Jaipur_Central,102.5,µg/m³,IN,"{'latitude': 28.74478393692939, 'longitude': 77.12947046778206}",2025-09-27 04:30:50.877925
Lucknow,Lucknow_Central,68.3,µg/m³,IN,"{'latitude': 28.73547798581244, 'longitude': 77.26298194222535}",2025-09-27 04:30:50.877925
Nagpur,Nagpur_Central,38.6,µg/m³,IN,"{'latitude': 28.56541270515123, 'longitude': 77.342639269162}",2025-09-27 04:30:50.877925
Indore,Indore_Central,28.6,µg/m³,IN,"{'latitude': 28.73200108369869, 'longitude': 77.18044822851655}",2025-09-27 04:30:50.877925
Bhopal,Bhopal_Central,32.8,µg/m³,IN,"{'latitude': 28.553911161228545, 'longitude': 77.2326213667167}",2025-09-27 04:30:50.877925
Patna,Patna_Central,27.9,µg/m³,IN,"{'latitude': 28.586046489461815, 'longitude': 77.42943569586753}",2025-09-27 04:30:50.877925
Vadodara,Vadodara_Central,31.5,µg/m³,IN,"{'latitude': 28.596047055028798, 'longitude': 77.23457579954896}",2025-09-27 04:30:50.877925
Ludhiana,Ludhiana_Central,74.6,µg/m³,IN,"{'latitude': 28.692124715378473, 'longitude': 77.12127964910401}",2025-09-27 04:30:50.877925
Agra,Agra_Central,64.7,µg/m³,IN,"{'latitude': 28.695526193619777, 'longitude': 77.0899557292744}",2025-09-27 04:30:50.877925
Nashik,Nashik_Central,75.2,µg/m³,IN,"{'latitude': 28.559081974083046, 'longitude': 77.24782424961896}",2025-09-27 04:30:50.877925
Faridabad,Faridabad_Central,10.0,µg/m³,IN,"{'latitude': 28.554538079601684, 'longitude': 77.29984423355882}",2025-09-27 04:30:50.877925
Mumbai,Mumbai_Central,65.5,µg/m³,IN,"{'latitude': 28.637314685662215, 'longitude': 77.22996745387361}",2025-09-27 05:30:50.877925
Kolkata,Kolkata_Central,84.4,µg/m³,IN,"{'latitude': 28.681505174631514, 'longitude': 77.26815037639817}",2025-09-27 05:30:50.877925
Chennai,Chennai_Central,60.8,µg/m³,IN,"{'latitude': 28.506598248950947, 'longitude': 77.27073397815336}",2025-09-27 05:30:50.877925
Bangalore,Bangalore_Central,26.5,µg/m³,IN,"{'latitude': 28.87578581708482, 'longitude': 77.20779112099548}",2025-09-27 05:30:50.877925
Hyderabad,Hyderabad_Central,30.0,µg/m³,IN,"{'latitude': 28.52616094245043, 'longitude': 77.1606325925575}",2025-09-27 05:30:50.877925
Pune,Pune_Central,38.3,µg/m³,IN,"{'latitude': 28.51999607103778, 'longitude': 77.25017230081865}",2025-09-27 05:30:50.877925
Jaipur,Jaipur_Central,44.8,µg/m³,IN,"{'latitude': 28.750812793175307, 'longitude': 77.08136027066334}",2025-09-27 05:30:50.877925
Lucknow,Lucknow_Central,71.7,µg/m³,IN,"{'latitude': 28.530846198020306, 'longitude': 77.18931719660641}",2025-09-27 05:30:50.877925
Kanpur,Kanpur_Central,109.0,µg/m³,IN,"{'latitude': 28.41474939615721, 'longitude': 77.21131992790902}",2025-09-27 05:30:50.877925
Nagpur,Nagpur_Central,102.7,µg/m³,IN,"{'latitude': 28.675793417103392, 'longitude': 77.24282485666936}",2025-09-27 05:30:50.877925
Indore,Indore_Central,10.0,µg/m³,IN,"{'latitude': 28.7304518839274, 'longitude': 77.21067758143016}",2025-09-27 05:30:50.877925
Bhopal,Bhopal_Central,28.2,µg/m³,IN,"{'latitude': 28.6179307058094, 'longitude': 77.29192770590758}",2025-09-27 05:30:50.877925
Patna,Patna_Central,157.4,µg/m³,IN,"{'latitude': 28.69497198033096, 'longitude': 77.14448876148646}",2025-09-27 05:30:50.877925
Vadodara,Vadodara_Central,10.0,µg/m³,IN,"{'latitude': 28.604456009085734, 'longitude': 77.22489320034174}",2025-09-27 05:30:50.877925
Agra,Agra_Central,63.7,µg/m³,IN,"{'latitude': 28.394084285683817, 'longitude': 77.10255571709175}",2025-09-27 05:30:50.877925
Nashik,Nashik_Central,60.6,µg/m³,IN,"{'latitude': 28.61698558300234, 'longitude': 77.30311518634505}",2025-09-27 05:30:50.877925
Faridabad,Faridabad_Central,31.4,µg/m³,IN,"{'latitude': 28.55245537484823, 'longitude': 77.3017314681691}",2025-09-27 05:30:50.877925
